------------------------------------------------------------
Client connecting to 10.0.0.5, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.13 port 49006 connected with 10.0.0.5 port 5001 (icwnd/mss/irtt=14/1448/23781)
[ ID] Interval       Transfer     Bandwidth
[  1] 56.0000-57.0000 sec   763 KBytes  6.25 Mbits/sec
[  1] 57.0000-58.0000 sec   955 KBytes  7.83 Mbits/sec
[  1] 58.0000-59.0000 sec   763 KBytes  6.25 Mbits/sec
[  1] 59.0000-60.0000 sec   955 KBytes  7.83 Mbits/sec
[  1] 60.0000-61.0000 sec   827 KBytes  6.78 Mbits/sec
[  1] 61.0000-62.0000 sec   763 KBytes  6.25 Mbits/sec
[  1] 62.0000-63.0000 sec   955 KBytes  7.83 Mbits/sec
[  1] 63.0000-64.0000 sec   827 KBytes  6.78 Mbits/sec
[  1] 64.0000-65.0000 sec   763 KBytes  6.25 Mbits/sec
[  1] 65.0000-66.0000 sec   955 KBytes  7.83 Mbits/sec
[  1] 66.0000-67.0000 sec   827 KBytes  6.78 Mbits/sec
[  1] 67.0000-68.0000 sec   891 KBytes  7.30 Mbits/sec
[  1] 68.0000-69.0000 sec   827 KBytes  6.78 Mbits/sec
[  1] 69.0000-70.0000 sec   891 KBytes  7.30 Mbits/sec
[  1] 70.0000-71.0000 sec   827 KBytes  6.78 Mbits/sec
[  1] 71.0000-72.0000 sec   763 KBytes  6.25 Mbits/sec
[  1] 72.0000-73.0000 sec   955 KBytes  7.83 Mbits/sec
[  1] 73.0000-74.0000 sec   827 KBytes  6.78 Mbits/sec
[  1] 74.0000-75.0000 sec   763 KBytes  6.25 Mbits/sec
[  1] 75.0000-76.0000 sec   955 KBytes  7.83 Mbits/sec
[  1] 76.0000-77.0000 sec   891 KBytes  7.30 Mbits/sec
[  1] 77.0000-78.0000 sec   763 KBytes  6.25 Mbits/sec
[  1] 78.0000-79.0000 sec   827 KBytes  6.78 Mbits/sec
[  1] 79.0000-80.0000 sec   955 KBytes  7.83 Mbits/sec
[  1] 80.0000-81.0000 sec   763 KBytes  6.25 Mbits/sec
[  1] 81.0000-82.0000 sec   955 KBytes  7.83 Mbits/sec
[  1] 82.0000-83.0000 sec   827 KBytes  6.78 Mbits/sec
[  1] 83.0000-84.0000 sec   763 KBytes  6.25 Mbits/sec
[  1] 84.0000-85.0000 sec   955 KBytes  7.83 Mbits/sec
[  1] 85.0000-86.0000 sec   827 KBytes  6.78 Mbits/sec
[  1] 86.0000-87.0000 sec   891 KBytes  7.30 Mbits/sec
[  1] 87.0000-88.0000 sec   763 KBytes  6.25 Mbits/sec
[  1] 88.0000-89.0000 sec   955 KBytes  7.83 Mbits/sec
[  1] 89.0000-90.0000 sec   827 KBytes  6.78 Mbits/sec
[  1] 90.0000-95.4906 sec  61.4 KBytes  91.7 Kbits/sec
[  1] 0.0000-95.4906 sec  89.4 MBytes  7.85 Mbits/sec
