time,throughput
2.0050032138824463,10.5
3.0071449279785156,10.5
4.010403394699097,10.5
5.012762546539307,10.3
6.015134334564209,10.5
7.017751455307007,10.5
8.020358562469482,10.5
9.022715091705322,10.5
10.024795532226562,10.5
11.027101039886475,10.5
12.035207271575928,10.4
13.038852214813232,10.4
14.047195434570312,10.6
15.04913878440857,10.5
16.051873207092285,10.5
17.054203271865845,10.4
18.0563862323761,10.5
19.059075593948364,10.5
20.062307119369507,10.5
21.065508604049683,10.5
22.06963086128235,10.5
23.07321572303772,10.5
24.092033863067627,9.7
25.098357915878296,11.3
26.100526809692383,9.5
27.103859186172485,11.2
28.106935024261475,10.7
29.109655380249023,9.26
30.11201572418213,11.8
31.11475443840027,10.5
32.11687660217285,10.5
33.11927127838135,10.5
34.12197828292847,10.5
35.12487721443176,10.5
36.12731909751892,10.5
37.14206552505493,10.5
38.14721703529358,10.5
39.149839878082275,10.5
40.15207862854004,10.5
41.15548658370972,9.94
42.15828990936279,11.0
43.1636164188385,10.5
44.16669583320618,10.5
45.17159962654114,10.5
47.23724842071533,1.25
48.240105867385864,8.1
49.24279189109802,11.0
50.252949237823486,10.5
51.25598692893982,10.5
52.2585346698761,10.4
53.260657787323,10.6
54.263245582580566,10.5
55.26780605316162,10.5
56.29263687133789,10.5
57.296942949295044,10.5
58.2995400428772,9.82
59.30184054374695,11.0
60.30531072616577,10.7
61.30989360809326,10.5
62.31329655647278,9.91
63.31610941886902,11.1
64.3189640045166,10.5
65.3214259147644,10.5
66.32381987571716,10.5
67.32832407951355,10.5
68.33050584793091,10.5
69.34310150146484,10.4
70.34622192382812,10.6
71.34915733337402,10.4
72.35155487060547,10.6
73.35739374160767,10.5
74.35993146896362,10.5
75.36845636367798,10.5
76.37196898460388,10.4
77.37672901153564,10.5
78.37924909591675,10.5
79.38247275352478,10.5
80.3922667503357,9.64
81.39694833755493,11.3
82.3993775844574,10.5
83.40170097351074,10.3
84.4042444229126,10.7
85.41254496574402,10.4
86.41537690162659,9.85
87.4177360534668,11.2
88.4224648475647,10.5
89.42570543289185,10.5
