time,latency,packet_loss
9.5367431640625e-07,66.4,0
1.0764200687408447,1.1,0
2.08154034614563,0.758,0
3.0915064811706543,0.977,0
4.100317716598511,0.788,0
5.105889558792114,1.06,0
6.109582424163818,0.863,0
7.1135149002075195,0.926,0
8.137601137161255,0.887,0
9.143211841583252,0.945,0
10.159034967422485,0.942,0
11.175808429718018,0.979,0
12.181838512420654,1.01,0
13.192989349365234,1.21,0
14.200303077697754,1.19,0
15.204502582550049,1.1,0
16.21719455718994,1.09,0
17.22977638244629,1.74,0
18.248409509658813,3.32,0
19.257825136184692,1.24,0
20.26422381401062,1.77,0
21.273962259292603,1.24,0
22.278597354888916,1.32,0
23.28382897377014,1.34,0
24.297168254852295,1.41,0
25.302461624145508,1.41,0
26.307582139968872,1.52,0
27.31851053237915,1.56,0
28.34632968902588,1.51,0
29.369134664535522,1.56,0
30.38024139404297,1.7,0
31.392244815826416,1.62,0
32.40807771682739,3.93,0
33.42172980308533,1.68,0
34.43841004371643,1.79,0
35.44874572753906,1.72,0
36.46384358406067,2.55,0
37.47689652442932,1.85,0
38.48628759384155,1.95,0
39.49864482879639,1.88,0
40.503718852996826,1.96,0
41.516499280929565,2.0,0
42.525012493133545,1.96,0
43.537235498428345,2.04,0
44.54941272735596,2.05,0
45.57098078727722,2.14,0
46.580503940582275,2.09,0
47.593111753463745,2.81,0
48.60259294509888,2.41,0
49.60954666137695,2.21,0
50.61504054069519,2.26,0
51.620397090911865,2.44,0
52.64041256904602,2.31,0
53.66064643859863,2.37,0
54.674439668655396,3.05,0
55.680861473083496,2.44,0
56.68793845176697,2.46,0
57.69395995140076,2.49,0
58.69927191734314,3.18,0
59.70955538749695,2.42,0
60.722108602523804,8.91,0
61.738428592681885,2.39,0
62.748071908950806,12.3,0
63.76595997810364,2.36,0
64.78211522102356,2.48,0
65.78904724121094,2.39,0
66.79484343528748,2.54,0
67.8004150390625,3.19,0
68.81492137908936,2.42,0
69.82132983207703,2.43,0
70.82715249061584,2.43,0
71.97115683555603,2.4,0
72.98021125793457,2.48,0
73.98677563667297,2.4,0
74.99401307106018,2.36,0
75.99937343597412,5.7,0
77.01113247871399,2.36,0
78.01891446113586,2.47,0
79.026930809021,2.37,0
80.03289103507996,2.38,0
81.07914590835571,2.39,0
82.08586716651917,2.41,0
83.09493136405945,2.46,0
84.10034942626953,2.96,0
85.10830020904541,4.34,0
86.11604881286621,2.39,0
87.12145924568176,2.54,0
88.12771677970886,2.47,0
89.14810419082642,2.38,0
