time,throughput
2.003939628601074,11.5
3.0079143047332764,8.39
4.011261224746704,6.29
5.014942646026611,11.9
6.017484664916992,8.86
7.0199620723724365,8.86
8.022540092468262,9.91
9.025282144546509,8.86
10.027333498001099,8.33
11.02985405921936,11.5
12.03328800201416,7.3
13.04516077041626,15.1
14.049538612365723,15.1
15.051615238189697,18.3
16.054829835891724,18.8
17.061431884765625,19.8
18.06348752975464,20.9
19.065536499023438,23.5
20.072304010391235,26.1
21.0780029296875,6.71
22.080936431884766,6.78
23.08702564239502,6.78
24.090275526046753,6.78
25.092479467391968,5.73
26.09526300430298,6.78
27.10042142868042,6.78
28.103074312210083,7.83
29.10503911972046,6.78
30.10697054862976,6.25
31.11312484741211,7.83
32.11863970756531,6.78
33.12270903587341,6.25
34.12577533721924,7.83
35.13056182861328,6.25
36.13379907608032,7.83
37.14174795150757,2.6
38.14686346054077,8.35
39.14984321594238,7.81
40.157118797302246,6.78
41.160475730895996,6.78
42.16281342506409,6.25
43.16466450691223,7.83
44.16665291786194,6.78
45.16907548904419,6.25
46.17266774177551,6.78
47.176764249801636,7.83
48.181050062179565,6.25
49.18546772003174,6.78
50.195051193237305,7.83
51.19722771644592,6.25
55.27293944358826,28.2
56.28304886817932,4.18
57.28706431388855,6.25
58.28956198692322,7.83
59.29205656051636,6.25
60.29496908187866,7.83
61.29714798927307,6.78
62.2998309135437,6.25
63.30637764930725,7.83
64.31021046638489,6.78
65.31479668617249,6.25
66.32902693748474,7.83
67.33224606513977,6.78
68.33514761924744,7.3
69.33832025527954,6.78
70.3413999080658,7.3
71.34612131118774,6.78
72.3528778553009,6.25
73.35909748077393,7.83
74.36339950561523,6.78
75.36596345901489,6.25
76.36824059486389,7.83
77.37293863296509,7.3
78.37835788726807,6.25
79.38108706474304,6.78
80.38434934616089,7.83
81.39182567596436,6.25
82.39673733711243,7.83
83.39968800544739,6.78
84.40214037895203,6.25
85.40499997138977,7.83
86.40702772140503,6.78
87.42005348205566,7.3
88.42799997329712,6.25
89.43301486968994,6.25
90.4542007446289,7.83
91.457843542099,6.78
92.46197652816772,6.78
93.47012257575989,6.78
94.4738552570343,6.78
95.47617387771606,6.78
